about,address,firstTag,image,latitude,longitude,name,overallrate,rate,secondTag,duration(hour),open,close,price
,"1 El Emam St., | ,El Fustat,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0e/8e/1f/58/plates-and-tiles.jpg,30.007196,31.235327,Foustat Traditional Crafts Center,"
7 reviews",4.5,History Museums,0.3,9,18,70
,"Al Fustat Street,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0e/7c/46/2f/national-museum-of-egyptian.jpg,30.007747,31.248562,National Museum of Egyptian Civilization NEMC,22 reviews,4,Science Museums,2,9,17,20
,"Cairo, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0e/9e/33/b4/the-october-war-panorama.jpg,30.074827,31.306326,October War Panorama,"
22 reviews",4,History Museums,3,9,17,20
"This complex comprises an ethnographic museum, debating chamber and a small historical library.","Kasr El Aini Street, | ,El Shura Council Compound,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/09/cf/c4/65/national-geographic-society.jpg,30.03399,31.23344,National Geographic Society Museum,"
18 reviews",4.5,Science Museums,2,9,17,23
"This famous museum houses the world’s largest collection of ancient Egyption artifacts (more than 120,000 items on display) featuring the famous Tutankhamun collection with its beautiful gold death mask and sarcophagus and the royal Mummy room...","Midan El Tahrir, | ,Geographical Society Building,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/43/31/ea/egyptian-antiquities.jpg,30.046997,31.233677,The Museum of Egyptian Antiquities,"12,037 reviews",4.5,Art Museums,1.5,9,17,30
,"1 El Malek El Saleh St., | ,Manial El Roda,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/07/de/3b/66/photo3jpg.jpg,30.086,31.24571,Umm Kolthoum Museum,34 reviews,4,History Museums,2,9,17,25
,"Pyramids Rd,, ,Giza, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/13/1c/b0/69/bow-of-the-solar-boat.jpg,29.978056,31.1345,Musee de la Barque Solaire,810 reviews,4.5,History Museums,2,9,18,25
,"Downtown,, ,Giza, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/09/f5/b2/b6/sondos-papyrus.jpg,30.00906,31.19898,Sondos Papyrus,43 reviews,4,Art Museums,0.5,9,17,60
"Formerly serving as a royal palace until the end of the monarchy in 1952, this history museum features a large collection of weapons and medals including knives, guns, cannons and an exhibit of medals.","Moustafa Abdel Raziq Street, | ,off Abdeen Square,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/01/11/4c/d9/the-garden-outside-the.jpg,30.042871,31.247547,Abdeen Palace Museum,67 reviews,4,History Museums,0.45,9,17,25
,"121 El Muez St., | ,Behind Wekalet Sobhy Zakaria,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0b/ea/49/b1/textile-museum-in-cairo.jpg,30.13671,31.33172,Egyptian Textile Museum,19 reviews,4.5,Art Museums,1,9,17,15
,"Al Nasr Road, | ,Nasr City,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/16/bf/c3/4f/photo1jpg.jpg,30.065,31.3139,Unknown Soldier Memorial,"
31 reviews",4,History Museums,1,9,23,20
,"Haret Al Darb al Asfar,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/13/fc/4e/2d/20180804-124807-largejpg.jpg,30.052176,31.262556,Bayt Al-Suhaymi,"
61 reviews",4.5,History Museums,0.3,9,17,20
,"15A Al Mansour Mohamed Street, | ,Off 26 of July Street, Zamalek,, ,Cairo 11511, ,Egypt",Shopping,https://media-cdn.tripadvisor.com/media/photo-s/07/d7/78/6b/getlstd-property-photo.jpg,30.06273,31.21851,Sami Amin,"
2 reviews",3,Art Museums,0.25,9,17,10
,"36 Abu Bakr El Seddiq St., | ,Heliopolis,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/ed/04/25/at-the-enterance.jpg,30.10372,31.25866,Children's Civilization and Creativity Center,"
,3 reviews",4.5,Science Museums,0.45,9,17,15
,"Ramses Square,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0e/ce/3b/01/photo7jpg.jpg,30.16968,31.77346,Railway Museum,"
7 reviews",3.5,History Museums,1,9,17,20
,"Wezaret El Zeraa St., | ,Dokki,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/05/fd/da/82/agricultural-museum.jpg,30.12445,31.30105,Agricultural Museum,22 reviews,3.5,Science Museums,0.3,9,17,10
"This museum is in recognition of the great Poet-Laureate Ahmed Shawki, which houses a wide collection of more than 713 manuscripts and drafts, a collection of oil paintings, antique objects and photographs of the poet and his family.","6 Ahmed Shawki Street,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/10/1d/8c/42/caption.jpg,30.14977,31.37096,Ahmed Shawki Museum (Karmat Ibn Hani'),"
5 reviews",5,Art Museums,0.35,9,17,15
"This military museum records the history of the Egyptian army forces from Pharaonic times to present-day, featuring exhibits of weaponry, medals, military equipment, uniforms and 220 paints of famous battles.","Citadel,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0b/18/c2/45/misiles.jpg,30.029757,31.261002,Military Museum,35 reviews,3.5,History Museums,0.5,9,17,30
,"Misr Helwan Agricultural Rd., | ,Zahraa Misr El Kadima, Misr El Kadima,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0c/ae/48/a0/egyptian-geology-museum.jpg,29.97755,31.24486,Egyptian Geology Museum,7 reviews,3.5,Science Museums,0.47,9,17,15
"The Child Museum, also known as The Children's Civilization & Creativity Center, is one of The Heliopolis Association major projects. The Child Museum first opened in 1996 to be the first children's museum in the Middle East and North Africa. In...","34 Abou Bakr El Seddik St. Heliopolis, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/13/39/13/b4/child-museum-building.jpg,30.100883,31.3336,Child Museum,"
5 reviews",5,Social Museums,0.3,9,17,15
,"Sakkara Road, | ,Harrania Village,, ,Giza 12556, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0a/81/55/f9/courtyard-near-weaving.jpg,29.969791,31.17672,Ramses Wissa Wassef Art Centre,"
29 reviews",5,Art Museums,0.3,9,23,50
,"11 Dr. Taha Hussein St., | ,El Haram,, ,Giza, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/10/1c/96/b7/caption.jpg,29.970385,31.21024,Taha Hussein Museum,"
10 reviews",4.5,History Museums,1,9,17,20
,"Salah El Din Sq. Qalaa,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0a/71/66/67/img-20160204-195001-largejpg.jpg,30.03101,31.25699,Mostafa Kamel Museum,"
3 reviews",3,History Museums,1,9,17,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"5 El Tahrir St., El Gezirah,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/17/5f/dc/b1/mahmoud-mokhtar-museum.jpg,30.10258,31.2543,Mahmoud Mokhtar Museum,4 reviews,3.5,Art Museums,0.5,9,17,17
"Located in the palace of Prince Ibrahim in Zamalek, this museum offers a splendid collection of ceramics acquired from different Islamic countries.","Prince Ibrahim's Palace,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0c/16/5c/e3/photo7jpg.jpg,30.0552,31.2257,Museum of Islamic Ceramics,12 reviews,3,Art Museums,1,9,17,37
,,,,,,,,,,,,,
,"44 Sherif Street,, ,Cairo 11511, ,Egypt",Shopping,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.0943,31.32272,Lenhert & Landrock,2 reviews,4,,0.3,9,23,30
,"Ain Helwan, | ,Helwan,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/08/68/d2/3d/helwan-wax-museum.jpg,29.8603,31.3258,Helwan Wax Museum,4 reviews,4,Art Museums,0.3,9,17,14
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Munira Kasr el-Eini,, ,Cairo 11511, ,Egypt",Museums,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.0375,31.2378,House of the People Beit El-Umma Museum,2 reviews,4.5,History Museums,0.45,9,17,18
,"Citadel Historic Area,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/daodao/photo-s/03/66/a5/aa/el-gawhara-palace.jpg,30.02745,31.22988,El Gawhara (Jewel) Palace Museum,4 reviews,4,History Museums,0.5,9,17,23
,"27 El Seyoufeya St. El Khalifa,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/12/9d/af/41/el-amir-taz-palace.jpg,30.032202,31.253353,El Amir Taz Palace,10 reviews,4,History Museums,0.45,9,17,10
"Built by Prince Mohamed Ali (1875-1955), between 1901 and 1929, this palace complex houses six structures including a hunting museum belonging to the late King Farouk, the prince’s residence and furnishings and a beautiful garden.","1 Saray Street, | ,Manyal,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/40/0d/c6/photo0jpg.jpg,30.028767,31.229893,Manial Palace Museum,132 reviews,4.5,History Museums,1,9,17,42
"Housing some of the finest collections of Coptic art dating back to Egypt’s Christian era, this museum includes collections of ancient ankhs and Horus-like falcons, stone carvings from the era of the Mamluks, a 6th-century Coptic stone pulpit and...","No 4 Fakhry Abd el Nour street, | ,Abbassia,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/04/0a/73/20/the-coptic-museum.jpg,30.005833,31.230396,The Coptic Museum,301 reviews,4.5,History Museums,1.5,9,17,20
,"Shar'a Bur Bab El Khalk Square,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/d5/d1/60/an-outdoor-setting-at.jpg,30.044697,31.25249,Museum of Islamic Arts,133 reviews,4.5,Art Museums,1,9,17,20
"This museum features the items of antiquity collected by John Gayer-Anderson, a British member of the Egyptian civil service in the 1930s and ‘40s, who restored two adjacent 16th- and 17th-century houses decorated with mashrabiyya screens and marble...","4 Maydan Ibn Tulun, | ,Old Cairo,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/07/d2/b4/4c/gayer-anderson-museum.jpg,30.028652,31.250834,Gayer-Anderson Museum (Bayt al-Kiritliya),199 reviews,4.5,History Museums,0.3,9,17,13
,"El-Orouba Street, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/a3/44/fb/mig-17.jpg,30.09982,31.35106,Egyptian Air Force Museum,9 reviews,4,History Museums,0.5,9,17,16
,"El-Darb EL-Ahmar, behind Al-Azhar Mosque,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0d/d3/cb/f9/caption.jpg,30.044724,31.263496,Manzil Zienab Khatoon,17 reviews,4,History Museums,0.2,9,17,12
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/06/2d/59/dahshur.jpg,29.79321,31.24628,Dahshur,879 reviews,4.5,,3,9,17,10
,"Mokattam Hills,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/09/df/fb/a9/view.jpg,30.030916,31.276522,St Simon the Tanner Monastery,40 reviews,4.5,,1.5,9,17,19
,"El-Gezira,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/11/f4/05/b9/caption.jpg,30.045904,31.224277,Cairo Tower,"1,095 reviews",4,,1.25,9,23,20
,"Syeda Zainab,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0d/d3/7f/51/caption.jpg,30.10042,31.25704,Mosque of Syeda Zainab,"
 43 reviews ",4.5,,2,9,17,25
,"3 El Bahr El Aazam St,, ,Giza, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/11/0f/0c/f3/caption.jpg,29.997576,31.215628,Pharaonic Village,248 reviews,4,,2,9,17,10
,"East of Sharia Salah Salem,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/06/38/c3/city-of-the-dead-northern.jpg,30.0467,31.2764,City of the Dead (Northern Cemetery),192 reviews,4,,2,9,17,22
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/10/cb/d8/2a/midan-hussein.jpg,30.047228,31.26278,Midan Hussein,104 reviews,4,,2,9,17,17
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/44/39/0f/overall-view.jpg,30.010132,31.232883,Mosque of Amr Ibn El-Aas,132 reviews,4.5,,1,9,17,50
,"Al-Haram Dahshur,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/19/95/8e/north-pyramid.jpg,29.809534,31.206293,North Pyramid (Piramide Roja),70 reviews,4.5,,2.5,9,17,10
,"Coptic Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/03/f7/42/43/ben-ezra-synagogue.jpg,30.005924,31.230991,Ben Ezra Synagogue,206 reviews,4,,2,9,17,19
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/10/52/cd/55/89886102-largejpg.jpg,30.090189,31.327604,Heliopolis,"
159 reviews",4.5,,1,9,17,45
,"Al Abageyah, | ,Shar'a Salih Salem,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/03/39/9e/3f/citadel-al-qalaa.jpg,30.0113,31.30607,Cairo Citadel,"1,163 reviews",4.5,,3,9,17,30
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/01/79/a3/1f/kairo.jpg,30.044247,31.227669,Zamalek (Gezira Island),469 reviews,4.5,,2,9,17,27
,"Nearby Roman Fortress, | ,Old (Coptic) Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0b/d8/1b/8c/photo0jpg.jpg,30.006384,31.229975,Greek Orthodox Church of St. George (Mari Girgis),207 reviews,4.5,,1,9,17,70
,"Mit Rahina Museum,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0e/e1/74/b5/koniglicher-kopf-und.jpg,29.84955,31.254917,Alabaster Sphinx,227 reviews,4.5,,2,9,17,15
,"Old Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/4f/82/94/detalle.jpg,30.006353,31.230633,Church of St Sergius and Bacchus,143 reviews,4.5,,1,9,17,14
,"Al Abageyah, | ,Qism El-Khalifa,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/15/95/bf/32/muhammad-ali-mosque.jpg,30.0291,31.25982,Mosque of Muhammad Ali,"2,528 reviews",4.5,,2,9,17,15
,"Shar'a Mari Girgis Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0f/4b/d2/a6/caption.jpg,30.005157,31.230167,"Hanging Church (El Muallaqa, Sitt Mariam, St Mary)",736 reviews,4.5,,3,9,17,15
,"Al-Basatin, off Al-Saliba Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/14/2e/71/0d/mosque-of-ibn-tulun.jpg,30.02869,31.249393,Mosque of Ibn Tulun,377 reviews,4.5,,1,9,17,30
,"Maydan Salah al-Din,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/09/4d/7d/caption.jpg,30.0323,31.256233,Mosque and Madrasa of Sultan Hassan,416 reviews,4.5,,1.5,9,17,25
,"26th of July Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0e/ad/b0/1f/amazing-hamza-amira-concert.jpg,30.06042,31.22137,Assawi Wheel,"
10 reviews",4.5,,3,9,17,20
,"El Maraashly Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0e/ea/35/34/st-mary-s-coptic-orthodox.jpg,30.104807,31.315539,St. Mary's Coptic Orthodox Church,9 reviews,4.5,,,9,17,20
,"Mari Girgis Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/7d/db/29/caption.jpg,30.006802,31.230036,St. Mercurius Church (Abu Seifien),9 reviews,4.5,,1.5,9,17,10
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/09/10/90/73/gray-mosque-el-aqmar.jpg,30.051711,31.261928,Gray Mosque (El-Aqmar Mosque),16 reviews,4,,,9,17,15
,"Muizz Street, | ,El-Gamaleya,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/1f/76/94/mosque-of-sultan-al-ashraf.jpg,30.03281,31.25613,Mosque of Sultan Al-Ashraf Barsbay,9 reviews,4.5,,1,9,17,5
,"Next to Bab Zuwaila,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/10/45/90/86/roof-top.jpg,29.97295,31.38953,El Muayyad Mosque,15 reviews,4,,1,9,17,15
,"In front of al Ghouri Mausoleum, | ,In front of al Ghouri Mausoleum, south of Khan al-Khalili,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/13/45/48/mosque-madrassa-of-al.jpg,30.046162,31.259747,Mosque-Madrassa of al Ghouri,15 reviews,4.5,,1,9,17,10
,"154 Al Moez Ldin Allah Al Fatmi, | ,154 المعز لدين الله الفاطمي,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/17/b3/a5/ornate-detail.jpg,30.055714,31.263385,Bab al-Futuh,25 reviews,4,,,9,17,10
,"Cleopatra Street, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.09235,31.32923,St. Mark's Coptic Orthodox Church,18 reviews,4.5,,1.5,9,17,5
,"El-Gamaleya, Qism El-Gamaleya,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/09/a2/2d/40/qaraoun-madrasa-and-mausoleum.jpg,30.049404,31.260967,Qalawun Complex,15 reviews,4.5,,2,9,17,15
,"1122 Abd El-Hameed Badawi, | ,Street Extension, Masr Al Nour Building,Sheraton Heliopolis ,Cairo , Egypt,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/38/33/40/phi-salt-cave.jpg,30.105165,31.376898,Phi Salt Cave,"
 7 reviews",5,,1.75,9,17,25
,"Al Haram Str.,, ,Giza 12611, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/06/7e/7d/2c/pyramids-of-giza.jpg,29.9773,31.132498,Pyramids of Giza,"7,782 reviews",4.5,,2.5,9,17,30
,"50 Kasr Al Nile,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/1a/9c/31/06/photo0jpg.jpg,30.04948,31.24522,Qasr El Nil Bridge,"
2 reviews",3,,1.25,9,17,30
,"Darb Kirmiz, | ,Fatimid Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/18/fa/11/56/the-great-reception-hall.jpg,30.05044,31.26185,Palace of Amir Beshtak,"
5 reviews",3,,2,9,17,25
,,,,,,,,,,0.3,9,17,30
,"6 Gaber Ibn Hayyan, | ,Dokki,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.03195,31.21147,German Evangelical Church,1 review,4,,2,9,17,45
,"3 Mohammed Abdu St,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.17655,31.44337,El Set Wasela House,"
1 review",5,,2,9,17,15
,"Al Saliba,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/78/49/fd/madrasa-on-the-left-side.jpg,30.04334,31.33311,Mosque and Khanqah of Shaykhu,"
1 review",4,,1,9,17,20
